planning_ref,measure_type,deadline,Goal,org_code,key_1,full_key
E.B.27,Percentage,March,77,RHM,E.B.27Percentage,E.B.27PercentageRHM
E.B.27,Percentage,March,77,RHU,E.B.27Percentage,E.B.27PercentageRHU
E.B.27,Percentage,March,77,RN5,E.B.27Percentage,E.B.27PercentageRN5
E.B.27,Percentage,March,77,QXU,E.B.27Percentage,E.B.27PercentageQXU
E.B.27,Percentage,March,77,RA2,E.B.27Percentage,E.B.27PercentageRA2
E.B.27,Percentage,March,77,RTK,E.B.27Percentage,E.B.27PercentageRTK
E.B.27,Percentage,March,77,RTP,E.B.27Percentage,E.B.27PercentageRTP
E.B.27,Percentage,March,77,QKS,E.B.27Percentage,E.B.27PercentageQKS
E.B.27,Percentage,March,77,RN7,E.B.27Percentage,E.B.27PercentageRN7
E.B.27,Percentage,March,77,RPA,E.B.27Percentage,E.B.27PercentageRPA
E.B.27,Percentage,March,77,RVV,E.B.27Percentage,E.B.27PercentageRVV
E.B.27,Percentage,March,77,RWF,E.B.27Percentage,E.B.27PercentageRWF
E.B.27,Percentage,March,77,QNX,E.B.27Percentage,E.B.27PercentageQNX
E.B.27,Percentage,March,77,RPC,E.B.27Percentage,E.B.27PercentageRPC
E.B.27,Percentage,March,77,RXC,E.B.27Percentage,E.B.27PercentageRXC
E.B.27,Percentage,March,77,RYR,E.B.27Percentage,E.B.27PercentageRYR
E.B.27,Percentage,March,77,Y59,E.B.27Percentage,E.B.27PercentageY59
E.B.28,Percentage,March,95,QU9,E.B.28Percentage,E.B.28PercentageQU9
E.B.28,Percentage,March,95,QNQ,E.B.28Percentage,E.B.28PercentageQNQ
E.B.28,Percentage,March,95,QRL,E.B.28Percentage,E.B.28PercentageQRL
E.B.28,Percentage,March,95,QXU,E.B.28Percentage,E.B.28PercentageQXU
E.B.28,Percentage,March,95,QKS,E.B.28Percentage,E.B.28PercentageQKS
E.B.28,Percentage,March,95,QNX,E.B.28Percentage,E.B.28PercentageQNX
E.B.28,Percentage,March,95,Y59,E.B.28Percentage,E.B.28PercentageY59
E.B.28k,Percentage,March,95,QU9,E.B.28kPercentage,E.B.28kPercentageQU9
E.B.28k,Percentage,March,95,QNQ,E.B.28kPercentage,E.B.28kPercentageQNQ
E.B.28k,Percentage,March,95,QRL,E.B.28kPercentage,E.B.28kPercentageQRL
E.B.28k,Percentage,March,95,QXU,E.B.28kPercentage,E.B.28kPercentageQXU
E.B.28k,Percentage,March,95,QKS,E.B.28kPercentage,E.B.28kPercentageQKS
E.B.28k,Percentage,March,95,QNX,E.B.28kPercentage,E.B.28kPercentageQNX
E.B.28k,Percentage,March,95,Y59,E.B.28kPercentage,E.B.28kPercentageY59
E.B.28h,Percentage,March,95,QU9,E.B.28hPercentage,E.B.28hPercentageQU9
E.B.28h,Percentage,March,95,QNQ,E.B.28hPercentage,E.B.28hPercentageQNQ
E.B.28h,Percentage,March,95,QRL,E.B.28hPercentage,E.B.28hPercentageQRL
E.B.28h,Percentage,March,95,QXU,E.B.28hPercentage,E.B.28hPercentageQXU
E.B.28h,Percentage,March,95,QKS,E.B.28hPercentage,E.B.28hPercentageQKS
E.B.28h,Percentage,March,95,QNX,E.B.28hPercentage,E.B.28hPercentageQNX
E.B.28h,Percentage,March,95,Y59,E.B.28hPercentage,E.B.28hPercentageY59
E.B.28g,Percentage,March,95,QU9,E.B.28gPercentage,E.B.28gPercentageQU9
E.B.28g,Percentage,March,95,QNQ,E.B.28gPercentage,E.B.28gPercentageQNQ
E.B.28g,Percentage,March,95,QRL,E.B.28gPercentage,E.B.28gPercentageQRL
E.B.28g,Percentage,March,95,QXU,E.B.28gPercentage,E.B.28gPercentageQXU
E.B.28g,Percentage,March,95,QKS,E.B.28gPercentage,E.B.28gPercentageQKS
E.B.28g,Percentage,March,95,QNX,E.B.28gPercentage,E.B.28gPercentageQNX
E.B.28g,Percentage,March,95,Y59,E.B.28gPercentage,E.B.28gPercentageY59
E.B.28f,Percentage,March,95,QU9,E.B.28fPercentage,E.B.28fPercentageQU9
E.B.28f,Percentage,March,95,QNQ,E.B.28fPercentage,E.B.28fPercentageQNQ
E.B.28f,Percentage,March,95,QRL,E.B.28fPercentage,E.B.28fPercentageQRL
E.B.28f,Percentage,March,95,QXU,E.B.28fPercentage,E.B.28fPercentageQXU
E.B.28f,Percentage,March,95,QKS,E.B.28fPercentage,E.B.28fPercentageQKS
E.B.28f,Percentage,March,95,QNX,E.B.28fPercentage,E.B.28fPercentageQNX
E.B.28f,Percentage,March,95,Y59,E.B.28fPercentage,E.B.28fPercentageY59
E.B.28e,Percentage,March,95,QU9,E.B.28ePercentage,E.B.28ePercentageQU9
E.B.28e,Percentage,March,95,QNQ,E.B.28ePercentage,E.B.28ePercentageQNQ
E.B.28e,Percentage,March,95,QRL,E.B.28ePercentage,E.B.28ePercentageQRL
E.B.28e,Percentage,March,95,QXU,E.B.28ePercentage,E.B.28ePercentageQXU
E.B.28e,Percentage,March,95,QKS,E.B.28ePercentage,E.B.28ePercentageQKS
E.B.28e,Percentage,March,95,QNX,E.B.28ePercentage,E.B.28ePercentageQNX
E.B.28e,Percentage,March,95,Y59,E.B.28ePercentage,E.B.28ePercentageY59
E.B.28d,Percentage,March,95,QU9,E.B.28dPercentage,E.B.28dPercentageQU9
E.B.28d,Percentage,March,95,QNQ,E.B.28dPercentage,E.B.28dPercentageQNQ
E.B.28d,Percentage,March,95,QRL,E.B.28dPercentage,E.B.28dPercentageQRL
E.B.28d,Percentage,March,95,QXU,E.B.28dPercentage,E.B.28dPercentageQXU
E.B.28d,Percentage,March,95,QKS,E.B.28dPercentage,E.B.28dPercentageQKS
E.B.28d,Percentage,March,95,QNX,E.B.28dPercentage,E.B.28dPercentageQNX
E.B.28d,Percentage,March,95,Y59,E.B.28dPercentage,E.B.28dPercentageY59
E.B.28c,Percentage,March,95,QU9,E.B.28cPercentage,E.B.28cPercentageQU9
E.B.28c,Percentage,March,95,QNQ,E.B.28cPercentage,E.B.28cPercentageQNQ
E.B.28c,Percentage,March,95,QRL,E.B.28cPercentage,E.B.28cPercentageQRL
E.B.28c,Percentage,March,95,QXU,E.B.28cPercentage,E.B.28cPercentageQXU
E.B.28c,Percentage,March,95,QKS,E.B.28cPercentage,E.B.28cPercentageQKS
E.B.28c,Percentage,March,95,QNX,E.B.28cPercentage,E.B.28cPercentageQNX
E.B.28c,Percentage,March,95,Y59,E.B.28cPercentage,E.B.28cPercentageY59
E.B.28b,Percentage,March,95,QU9,E.B.28bPercentage,E.B.28bPercentageQU9
E.B.28b,Percentage,March,95,QNQ,E.B.28bPercentage,E.B.28bPercentageQNQ
E.B.28b,Percentage,March,95,QRL,E.B.28bPercentage,E.B.28bPercentageQRL
E.B.28b,Percentage,March,95,QXU,E.B.28bPercentage,E.B.28bPercentageQXU
E.B.28b,Percentage,March,95,QKS,E.B.28bPercentage,E.B.28bPercentageQKS
E.B.28b,Percentage,March,95,QNX,E.B.28bPercentage,E.B.28bPercentageQNX
E.B.28b,Percentage,March,95,Y59,E.B.28bPercentage,E.B.28bPercentageY59
E.B.28a,Percentage,March,95,QU9,E.B.28aPercentage,E.B.28aPercentageQU9
E.B.28a,Percentage,March,95,QNQ,E.B.28aPercentage,E.B.28aPercentageQNQ
E.B.28a,Percentage,March,95,QRL,E.B.28aPercentage,E.B.28aPercentageQRL
E.B.28a,Percentage,March,95,QXU,E.B.28aPercentage,E.B.28aPercentageQXU
E.B.28a,Percentage,March,95,QKS,E.B.28aPercentage,E.B.28aPercentageQKS
E.B.28a,Percentage,March,95,QNX,E.B.28aPercentage,E.B.28aPercentageQNX
E.B.28a,Percentage,March,95,Y59,E.B.28aPercentage,E.B.28aPercentageY59
E.A.5,Count,March,0,RNU,E.A.5Count,E.A.5CountRNU
E.A.5,Count,March,0,RWX,E.A.5Count,E.A.5CountRWX
E.A.5,Count,March,0,QU9,E.A.5Count,E.A.5CountQU9
E.A.5,Count,March,0,QNQ,E.A.5Count,E.A.5CountQNQ
E.A.5,Count,March,0,R1C,E.A.5Count,E.A.5CountR1C
E.A.5,Count,March,0,R1F,E.A.5Count,E.A.5CountR1F
E.A.5,Count,March,0,RW1,E.A.5Count,E.A.5CountRW1
E.A.5,Count,March,0,QRL,E.A.5Count,E.A.5CountQRL
E.A.5,Count,March,0,RXX,E.A.5Count,E.A.5CountRXX
E.A.5,Count,March,0,QXU,E.A.5Count,E.A.5CountQXU
E.A.5,Count,March,0,RXY,E.A.5Count,E.A.5CountRXY
E.A.5,Count,March,0,RYY,E.A.5Count,E.A.5CountRYY
E.A.5,Count,March,0,QKS,E.A.5Count,E.A.5CountQKS
E.A.5,Count,March,0,RX2,E.A.5Count,E.A.5CountRX2
E.A.5,Count,March,0,QNX,E.A.5Count,E.A.5CountQNX
E.A.5,Count,March,0,Y59,E.A.5Count,E.A.5CountY59
E.H.31,Count,March,NA,QU9,E.H.31Count,E.H.31CountQU9
E.H.31,Count,March,NA,QNQ,E.H.31Count,E.H.31CountQNQ
E.H.31,Count,March,NA,QRL,E.H.31Count,E.H.31CountQRL
E.H.31,Count,March,NA,QXU,E.H.31Count,E.H.31CountQXU
E.H.31,Count,March,NA,QKS,E.H.31Count,E.H.31CountQKS
E.H.31,Count,March,NA,QNX,E.H.31Count,E.H.31CountQNX
E.H.31,Count,March,NA,Y59,E.H.31Count,E.H.31CountY59
E.A.4a,Percentage,March,48,QU9,E.A.4aPercentage,E.A.4aPercentageQU9
E.A.4a,Percentage,March,48,QNQ,E.A.4aPercentage,E.A.4aPercentageQNQ
E.A.4a,Percentage,March,48,QRL,E.A.4aPercentage,E.A.4aPercentageQRL
E.A.4a,Percentage,March,48,QXU,E.A.4aPercentage,E.A.4aPercentageQXU
E.A.4a,Percentage,March,48,QKS,E.A.4aPercentage,E.A.4aPercentageQKS
E.A.4a,Percentage,March,48,QNX,E.A.4aPercentage,E.A.4aPercentageQNX
E.A.4a,Percentage,March,48,Y59,E.A.4aPercentage,E.A.4aPercentageY59
E.A.4b,Percentage,March,67,QU9,E.A.4bPercentage,E.A.4bPercentageQU9
E.A.4b,Percentage,March,67,QNQ,E.A.4bPercentage,E.A.4bPercentageQNQ
E.A.4b,Percentage,March,67,QRL,E.A.4bPercentage,E.A.4bPercentageQRL
E.A.4b,Percentage,March,67,QXU,E.A.4bPercentage,E.A.4bPercentageQXU
E.A.4b,Percentage,March,67,QKS,E.A.4bPercentage,E.A.4bPercentageQKS
E.A.4b,Percentage,March,67,QNX,E.A.4bPercentage,E.A.4bPercentageQNX
E.A.4b,Percentage,March,67,Y59,E.A.4bPercentage,E.A.4bPercentageY59
E.H.13,Percentage,March,60,QU9,E.H.13Percentage,E.H.13PercentageQU9
E.H.13,Percentage,March,60,QNQ,E.H.13Percentage,E.H.13PercentageQNQ
E.H.13,Percentage,March,60,QRL,E.H.13Percentage,E.H.13PercentageQRL
E.H.13,Percentage,March,60,QXU,E.H.13Percentage,E.H.13PercentageQXU
E.H.13,Percentage,March,60,QKS,E.H.13Percentage,E.H.13PercentageQKS
E.H.13,Percentage,March,60,QNX,E.H.13Percentage,E.H.13PercentageQNX
E.H.13,Percentage,March,60,Y59,E.H.13Percentage,E.H.13PercentageY59
E.A.S1,Percentage,March,66.7,NA,E.A.S1Percentage,E.A.S1PercentageNA
E.K.3,Percentage,March,75,QU9,E.K.3Percentage,E.K.3PercentageQU9
E.K.3,Percentage,March,75,QNQ,E.K.3Percentage,E.K.3PercentageQNQ
E.K.3,Percentage,March,75,QRL,E.K.3Percentage,E.K.3PercentageQRL
E.K.3,Percentage,March,75,QXU,E.K.3Percentage,E.K.3PercentageQXU
E.K.3,Percentage,March,75,QKS,E.K.3Percentage,E.K.3PercentageQKS
E.K.3,Percentage,March,75,QNX,E.K.3Percentage,E.K.3PercentageQNX
E.K.3,Percentage,March,75,Y59,E.K.3Percentage,E.K.3PercentageY59
E.K.1c,Rate,March,15,QU9,E.K.1cRate,E.K.1cRateQU9
E.K.1c,Rate,March,15,QNQ,E.K.1cRate,E.K.1cRateQNQ
E.K.1c,Rate,March,15,QRL,E.K.1cRate,E.K.1cRateQRL
E.K.1c,Rate,March,15,QXU,E.K.1cRate,E.K.1cRateQXU
E.K.1c,Rate,March,15,QKS,E.K.1cRate,E.K.1cRateQKS
E.K.1c,Rate,March,15,QNX,E.K.1cRate,E.K.1cRateQNX
E.K.1c,Rate,March,15,Y59,E.K.1cRate,E.K.1cRateY59
E.K.1,Rate,March,30,QU9,E.K.1Rate,E.K.1RateQU9
E.K.1,Rate,March,30,QNQ,E.K.1Rate,E.K.1RateQNQ
E.K.1,Rate,March,30,QRL,E.K.1Rate,E.K.1RateQRL
E.K.1,Rate,March,30,QXU,E.K.1Rate,E.K.1RateQXU
E.K.1,Rate,March,30,QKS,E.K.1Rate,E.K.1RateQKS
E.K.1,Rate,March,30,QNX,E.K.1Rate,E.K.1RateQNX
E.K.1,Rate,March,30,Y59,E.K.1Rate,E.K.1RateY59
E.M.38,Percentage,March,46,RHW,E.M.38Percentage,E.M.38PercentageRHW
E.M.38,Percentage,March,46,RTH,E.M.38Percentage,E.M.38PercentageRTH
E.M.38,Percentage,March,46,RXQ,E.M.38Percentage,E.M.38PercentageRXQ
E.M.38,Percentage,March,46,QU9,E.M.38Percentage,E.M.38PercentageQU9
E.M.38,Percentage,March,46,RDU,E.M.38Percentage,E.M.38PercentageRDU
E.M.38,Percentage,March,46,QNQ,E.M.38Percentage,E.M.38PercentageQNQ
E.M.38,Percentage,March,46,R1F,E.M.38Percentage,E.M.38PercentageR1F
E.M.38,Percentage,March,46,RHM,E.M.38Percentage,E.M.38PercentageRHM
E.M.38,Percentage,March,46,RHU,E.M.38Percentage,E.M.38PercentageRHU
E.M.38,Percentage,March,46,RN5,E.M.38Percentage,E.M.38PercentageRN5
E.M.38,Percentage,March,46,QRL,E.M.38Percentage,E.M.38PercentageQRL
E.M.38,Percentage,March,46,RA2,E.M.38Percentage,E.M.38PercentageRA2
E.M.38,Percentage,March,46,RTK,E.M.38Percentage,E.M.38PercentageRTK
E.M.38,Percentage,March,46,RTP,E.M.38Percentage,E.M.38PercentageRTP
E.M.38,Percentage,March,46,QXU,E.M.38Percentage,E.M.38PercentageQXU
E.M.38,Percentage,March,46,RN7,E.M.38Percentage,E.M.38PercentageRN7
E.M.38,Percentage,March,46,RPA,E.M.38Percentage,E.M.38PercentageRPA
E.M.38,Percentage,March,46,RVV,E.M.38Percentage,E.M.38PercentageRVV
E.M.38,Percentage,March,46,RWF,E.M.38Percentage,E.M.38PercentageRWF
E.M.38,Percentage,March,46,QKS,E.M.38Percentage,E.M.38PercentageQKS
E.M.38,Percentage,March,46,RPC,E.M.38Percentage,E.M.38PercentageRPC
E.M.38,Percentage,March,46,RXC,E.M.38Percentage,E.M.38PercentageRXC
E.M.38,Percentage,March,46,RYR,E.M.38Percentage,E.M.38PercentageRYR
E.M.38,Percentage,March,46,QNX,E.M.38Percentage,E.M.38PercentageQNX
E.M.38,Percentage,March,46,Y59,E.M.38Percentage,E.M.38PercentageY59
