icb_code,org_code,dimension_name,source,planning_ref,measure_type,metric_value,ref_key
QRL,RYE,May-24,current_actuals,E.B.23c,Count,25786,E.B.23cCount
QRL,RYE,May-24,current_actuals,E.B.23c,Mean,33.95344631,E.B.23cMean
QRL,RYE,Nov-24,current_actuals,E.B.23c,Count,27454,E.B.23cCount
QRL,RYE,Nov-24,current_actuals,E.B.23c,Mean,37.30854642,E.B.23cMean
QRL,RYE,Oct-24,current_actuals,E.B.23c,Count,27508,E.B.23cCount
QRL,RYE,Oct-24,current_actuals,E.B.23c,Mean,38.49956922,E.B.23cMean
QRL,RYE,Sep-24,current_actuals,E.B.23c,Count,25405,E.B.23cCount
QRL,RYE,Sep-24,current_actuals,E.B.23c,Mean,38.89622515,E.B.23cMean
QXU,RYD,Apr 2024 - Apr 2024,current_actuals,E.B.23c,Count,32564,E.B.23cCount
QXU,RYD,Apr 2024 - Apr 2024,current_actuals,E.B.23c,Mean,23.91313209,E.B.23cMean
QXU,RYD,Apr 2024 - Aug 2024,current_actuals,E.B.23c,Count,32300,E.B.23cCount
QXU,RYD,Apr 2024 - Aug 2024,current_actuals,E.B.23c,Mean,26.63183901,E.B.23cMean
QXU,RYD,Apr 2024 - Jul 2024,current_actuals,E.B.23c,Count,33818,E.B.23cCount
QXU,RYD,Apr 2024 - Jul 2024,current_actuals,E.B.23c,Mean,33.50702634,E.B.23cMean
QXU,RYD,Apr 2024 - Jun 2024,current_actuals,E.B.23c,Count,33169,E.B.23cCount
QXU,RYD,Apr 2024 - Jun 2024,current_actuals,E.B.23c,Mean,30.0001613,E.B.23cMean
QXU,RYD,Apr 2024 - May 2024,current_actuals,E.B.23c,Count,34166,E.B.23cCount
QXU,RYD,Apr 2024 - May 2024,current_actuals,E.B.23c,Mean,25.70693038,E.B.23cMean
QXU,RYD,Apr 2024 - Nov 2024,current_actuals,E.B.23c,Count,35432,E.B.23cCount
QXU,RYD,Apr 2024 - Nov 2024,current_actuals,E.B.23c,Mean,28.45884746,E.B.23cMean
QXU,RYD,Apr 2024 - Oct 2024,current_actuals,E.B.23c,Count,35714,E.B.23cCount
QXU,RYD,Apr 2024 - Oct 2024,current_actuals,E.B.23c,Mean,30.50974034,E.B.23cMean
QXU,RYD,Apr 2024 - Sep 2024,current_actuals,E.B.23c,Count,32672,E.B.23cCount
QXU,RYD,Apr 2024 - Sep 2024,current_actuals,E.B.23c,Mean,29.9227871,E.B.23cMean
QXU,RYD,Apr-24,current_actuals,E.B.23c,Count,32564,E.B.23cCount
QXU,RYD,Apr-24,current_actuals,E.B.23c,Mean,23.91313209,E.B.23cMean
QXU,RYD,Aug-24,current_actuals,E.B.23c,Count,32300,E.B.23cCount
QXU,RYD,Aug-24,current_actuals,E.B.23c,Mean,26.63183901,E.B.23cMean
QXU,RYD,Jul-24,current_actuals,E.B.23c,Count,33818,E.B.23cCount
QXU,RYD,Jul-24,current_actuals,E.B.23c,Mean,33.50702634,E.B.23cMean
