icb_code,org_code,dimension_name,planning_ref,measure_type,ref_key,source,total_var,perc_var
QRL,RYE,Apr-24,E.B.23c,Count,E.B.23cCount,may24_plan,-2370,-0.0864742584011384
QRL,RYE,Apr-24,E.B.23c,Mean,E.B.23cMean,June24_plan,-0.5003994066666664,-0.017765659408284014
QRL,RYE,Apr-24,E.B.23c,Mean,E.B.23cMean,march24_plan,-0.33373273999999853,-0.011919026428571376
QRL,RYE,Apr-24,E.B.23c,Mean,E.B.23cMean,may24_plan,-0.5003994066666664,-0.017765659408284014
QRL,RYE,Aug-24,E.B.23c,Count,E.B.23cCount,June24_plan,-4415,-0.15334653190233058
QRL,RYE,Aug-24,E.B.23c,Count,E.B.23cCount,march24_plan,-4415,-0.15334653190233058
QRL,RYE,Aug-24,E.B.23c,Count,E.B.23cCount,may24_plan,-4415,-0.15334653190233058
QRL,RYE,Aug-24,E.B.23c,Mean,E.B.23cMean,June24_plan,-0.24657381666666112,-0.008001313683071751
QRL,RYE,Aug-24,E.B.23c,Mean,E.B.23cMean,march24_plan,-0.42990714999999824,-0.013867972580645104
QRL,RYE,Aug-24,E.B.23c,Mean,E.B.23cMean,may24_plan,-0.24657381666666112,-0.008001313683071751
QRL,RYE,Jul-24,E.B.23c,Count,E.B.23cCount,June24_plan,-4278,-0.14091373233637472
QRL,RYE,Jul-24,E.B.23c,Count,E.B.23cCount,march24_plan,-4278,-0.14091373233637472
QRL,RYE,Jul-24,E.B.23c,Count,E.B.23cCount,may24_plan,-4278,-0.14091373233637472
QRL,RYE,Jul-24,E.B.23c,Mean,E.B.23cMean,June24_plan,4.197332030000005,0.11724391145251413
QRL,RYE,Jul-24,E.B.23c,Mean,E.B.23cMean,march24_plan,3.9973320300000026,0.1110370008333334
QRL,RYE,Jul-24,E.B.23c,Mean,E.B.23cMean,may24_plan,4.197332030000005,0.11724391145251413
QRL,RYE,Jun-24,E.B.23c,Count,E.B.23cCount,June24_plan,-4442,-0.15208682850001712
QRL,RYE,Jun-24,E.B.23c,Count,E.B.23cCount,march24_plan,-4442,-0.15208682850001712
QRL,RYE,Jun-24,E.B.23c,Count,E.B.23cCount,may24_plan,-4442,-0.15208682850001712
QRL,RYE,Jun-24,E.B.23c,Mean,E.B.23cMean,June24_plan,-0.5997597433333368,-0.019707330010953015
QRL,RYE,Jun-24,E.B.23c,Mean,E.B.23cMean,march24_plan,-0.1664264099999997,-0.0055475469999999895
QRL,RYE,Jun-24,E.B.23c,Mean,E.B.23cMean,may24_plan,-0.5997597433333368,-0.019707330010953015
QRL,RYE,May-24,E.B.23c,Count,E.B.23cCount,June24_plan,-3450,-0.11800519906964017
QRL,RYE,May-24,E.B.23c,Count,E.B.23cCount,march24_plan,-3450,-0.11800519906964017
QRL,RYE,May-24,E.B.23c,Count,E.B.23cCount,may24_plan,-3450,-0.11800519906964017
QRL,RYE,May-24,E.B.23c,Mean,E.B.23cMean,June24_plan,2.486779643333332,0.07902901408898301
QRL,RYE,May-24,E.B.23c,Mean,E.B.23cMean,march24_plan,2.953446309999997,0.09527246161290312
QRL,RYE,May-24,E.B.23c,Mean,E.B.23cMean,may24_plan,2.486779643333332,0.07902901408898301
QRL,RYE,Nov-24,E.B.23c,Count,E.B.23cCount,June24_plan,-4000,-0.12716983531506326
QRL,RYE,Nov-24,E.B.23c,Count,E.B.23cCount,march24_plan,-4000,-0.12716983531506326
